"","Male","Bachelor","relfreq","religionlink","regionlink","moreno","province","ownchtrust","religion"
"328",0,0,4,2,2,5,"Nova Scotia",6,"Catholic"
"330",0,1,2,1,1,3,"New Brunswick",99,"Hindu"
"331",1,1,4,4,3,1,"Ontario",9,"Catholic"
"332",0,0,2,3,3,3,"Newfoundland and Labrador",8,"Catholic"
"333",0,1,99,3,3,4,"British Columbia",99,"Non-religious"
"334",1,0,2,3,1,5,"Ontario",99,"Other Christian"
"335",1,0,99,1,2,2,"Alberta",99,"Non-religious"
"336",1,0,2,2,3,3,"Quebec",8,"United Church"
"337",1,1,99,3,4,2,"Ontario",99,"Non-religious"
"338",0,1,1,2,3,3,"Ontario",99,"Hindu"
"339",0,1,4,1,2,2,"Alberta",9,"Catholic"
"340",0,1,4,4,4,3,"Alberta",7,"Catholic"
"341",0,1,1,3,1,5,"Ontario",99,"Muslim"
"342",1,0,2,2,2,1,"Quebec",99,"Buddhist"
"343",0,1,2,3,3,3,"Ontario",99,"Hindu"
"344",0,0,99,1,3,3,"Alberta",99,"Non-religious"
"345",1,0,3,2,2,3,"Alberta",99,"Other Christian"
"346",0,0,2,3,3,3,"Newfoundland and Labrador",7,"Catholic"
"347",0,1,1,3,3,3,"British Columbia",99,"Hindu"
"348",1,0,2,4,3,1,"Saskatchewan",99,"Sikh"
"349",1,1,2,3,3,3,"Alberta",99,"Muslim"
"350",0,1,3,3,2,2,"British Columbia",99,"Sikh"
"351",1,1,2,3,3,3,"Ontario",99,"Hindu"
"352",1,0,2,3,3,3,"Ontario",99,"Sikh"
"353",1,0,99,1,1,1,"Nova Scotia",99,"Non-religious"
"354",0,1,2,3,3,2,"Quebec",99,"Muslim"
"355",0,1,2,3,4,3,"Ontario",99,"Hindu"
"356",0,0,4,4,4,3,"Alberta",99,"Other Christian"
"357",0,0,2,2,2,3,"British Columbia",7,"Catholic"
"358",1,1,2,4,3,3,"Manitoba",99,"Hindu"
"359",0,0,1,3,4,2,"British Columbia",99,"Sikh"
