"","SMS","male","Age","donated","Roma_Inf"
"555","Neutral Rights",1,71,0,0
"556","Roma Rights",1,32,0,0
"557","Neutral Rights",0,44,0,0
"558","Neutral Rights",1,52,0,0
"559","Roma Child",1,30,0,0
"560","Greek Child",0,41,0,0
"561","Neutral Child",1,96,0,0
"562","Greek Child",0,33,0,0
"563","Greek Child",0,34,0,0
"564","Roma Child",0,30,0,0
"565","Roma Child",0,32,0,0
"566","Greek Rights",1,40,0,0
"567","Neutral Child",0,29,0,0
"568","Neutral Rights",0,37,0,0
"569","Roma Child",0,36,0,0
"570","Greek Rights",1,36,0,0
"571","Neutral Child",0,38,0,0
"572","Neutral Rights",1,30,0,0
"573","Greek Child",0,31,0,0
"574","Neutral Child",1,39,0,0
"575","Neutral Child",1,33,0,0
"576","Roma Rights",1,28,0,0
"577","Roma Child",1,32,0,0
"578","Roma Rights",0,43,0,0
"579","Neutral Child",1,36,0,0
"580","Roma Rights",0,37,0,0
"581","Greek Rights",0,34,0,0
"582","Neutral Child",1,49,0,0
"583","Roma Rights",0,40,0,0
"584","Roma Child",1,41,0,0
"585","Neutral Rights",1,34,0,0
"586","Greek Rights",0,42,0,0
"587","Neutral Child",1,33,0,0
"588","Neutral Rights",1,42,0,0
"589","Neutral Rights",1,74,0,0
"590","Roma Rights",1,38,0,0
"591","Greek Child",1,29,0,0
"592","Roma Rights",1,43,0,0
"593","Greek Rights",0,56,0,0
"594","Neutral Child",1,51,0,0
"595","Neutral Rights",1,32,0,0
"596","Greek Rights",1,34,0,0
"597","Roma Child",1,96,0,0
"598","Roma Rights",1,35,0,0
"599","Roma Child",0,30,0,0
"600","Roma Rights",0,34,0,0
"601","Neutral Rights",1,75,0,0
"602","Greek Child",1,23,0,0
"603","Neutral Rights",1,33,0,0
"604","Greek Child",1,35,0,0
"605","Neutral Rights",0,41,0,0
"606","Roma Child",0,39,0,0
"607","Roma Rights",1,45,0,0
"608","Neutral Rights",1,37,0,0
"609","Greek Rights",1,41,0,0
"610","Greek Rights",1,35,0,0
"611","Greek Rights",1,47,0,0
"612","Roma Child",0,36,0,0
"613","Roma Rights",1,35,0,0
"614","Roma Child",0,30,0,0
"615","Roma Rights",0,38,0,0
"616","Greek Rights",1,44,0,0
"617","Greek Child",1,35,0,0
"618","Neutral Rights",1,30,0,0
"619","Roma Rights",1,43,0,0
"620","Roma Child",1,27,0,0
"621","Roma Child",1,42,0,0
"622","Greek Child",1,32,0,0
"623","Neutral Child",1,30,0,0
"624","Greek Rights",1,33,0,0
"625","Roma Rights",1,38,0,0
"626","Roma Child",1,32,0,0
"627","Roma Rights",1,26,0,0
"628","Neutral Child",1,32,0,0
"629","Greek Child",1,38,0,0
"630","Greek Child",0,37,0,0
"631","Roma Child",1,33,0,0
"632","Roma Rights",1,28,0,0
"633","Greek Child",0,32,0,0
"634","Neutral Rights",0,30,0,0
"635","Neutral Rights",0,37,0,0
"636","Greek Child",1,29,0,0
"637","Roma Rights",1,33,0,0
"638","Neutral Rights",1,34,0,0
"639","Neutral Child",1,38,0,0
"640","Greek Rights",1,34,0,0
"641","Greek Child",1,33,0,0
"642","Greek Rights",1,46,0,0
"643","Greek Rights",1,33,0,0
"644","Greek Child",1,56,0,0
"645","Neutral Child",0,44,0,0
"646","Greek Child",1,41,0,0
"647","Neutral Rights",1,39,0,0
"648","Roma Rights",0,27,0,0
"649","Roma Child",0,36,0,0
"650","Roma Rights",1,25,0,0
"651","Neutral Child",1,36,0,0
"652","Neutral Rights",0,27,0,0
"653","Greek Rights",0,36,0,0
"654","Roma Child",0,33,0,0
"655","Greek Rights",1,62,0,0
"656","Roma Rights",0,41,0,0
"657","Greek Rights",1,37,0,0
"658","Greek Child",0,35,0,0
"659","Neutral Rights",0,35,0,0
"660","Neutral Child",0,41,0,0
"661","Neutral Child",1,28,0,0
"662","Greek Child",1,34,0,0
"663","Neutral Rights",1,40,0,0
"664","Roma Child",1,34,0,0
"665","Greek Child",1,34,0,0
"666","Greek Rights",1,32,0,0
"667","Greek Child",1,49,0,0
"668","Roma Child",1,39,0,0
"669","Roma Child",0,39,0,0
"670","Greek Rights",1,36,0,0
"671","Roma Child",0,35,0,0
"672","Roma Child",0,96,0,0
"673","Roma Rights",0,74,0,0
"674","Greek Child",1,58,0,0
"675","Greek Rights",1,40,0,0
"676","Greek Rights",0,38,0,0
"677","Roma Rights",0,36,0,0
"678","Greek Child",1,34,0,0
"679","Greek Rights",0,51,0,0
"680","Greek Rights",0,52,0,0
"681","Greek Child",1,33,0,0
"682","Greek Child",0,44,0,0
"683","Roma Rights",1,33,0,0
"684","Roma Rights",1,38,0,0
"685","Neutral Child",1,32,0,0
"686","Roma Rights",1,32,0,0
"687","Roma Child",1,36,0,0
"688","Greek Rights",1,33,0,0
"689","Roma Rights",1,32,0,0
"690","Roma Child",1,45,0,0
"691","Greek Child",0,68,0,0
"692","Roma Child",1,33,0,0
"693","Roma Child",0,39,0,0
"694","Roma Child",1,30,0,0
"695","Greek Rights",1,39,0,0
"696","Roma Child",1,28,0,0
"697","Greek Rights",1,31,0,0
"698","Roma Child",0,25,0,0
"699","Greek Rights",1,57,0,0
"700","Greek Child",1,34,0,0
"701","Neutral Rights",0,38,0,0
"702","Neutral Child",1,40,0,0
"703","Roma Rights",1,42,0,0
"704","Neutral Child",1,39,0,0
"705","Roma Child",1,41,0,0
"706","Roma Rights",1,37,0,0
"707","Roma Child",1,35,0,0
"708","Neutral Rights",1,36,0,0
"709","Greek Child",0,43,0,0
"710","Greek Child",1,41,0,0
"711","Roma Child",0,47,0,0
"712","Neutral Child",1,44,0,0
"713","Greek Child",1,33,0,0
"714","Roma Child",1,29,0,0
"715","Neutral Rights",1,50,0,0
