"election_id","country","year","party_name","vote_share","seats","seats_total","left_right","state_market","liberty_authority","halfdecade","party_family"
24,"Finland",1995,"Social Democratic Party of Finland",28.3,63,200,3.5595,3.5454,4.2417,"(1994,1999]","Social democracy"
24,"Finland",1995,"Swedish People's Party",5.1,11,200,6.3906,6.7295,3.8385,"(1994,1999]","Liberal"
24,"Finland",1995,"League for Free Finland",1.01,0,200,NA,NA,NA,"(1994,1999]","Special issue"
24,"Finland",1995,"Young Finns",2.8,2,200,6,6.7,3.5,"(1994,1999]","Liberal"
24,"Finland",1995,"Green League",6.5,9,200,3.6465,3.4279,2.2671,"(1994,1999]","Green/Ecologist"
24,"Finland",1995,"Ecological Party",0.3,1,200,4.75,4.5,3.75,"(1994,1999]","Green/Ecologist"
24,"Finland",1995,"National Coalition Party",17.9,39,200,7.2451,7.6408,5.5872,"(1994,1999]","Conservative"
24,"Finland",1995,"Democratic Union | Left Alliance",11.2,22,200,2.1843,1.8661,3.3406,"(1994,1999]","Communist/Socialist"
24,"Finland",1995,"Christian Democrats",3,7,200,7.1884,4.9438,8.3076,"(1994,1999]","Christian democracy"
25,"Japan",1990,"Socialist Democratic Federation",0.86,4,512,3.3,3.5,3.5,"(1989,1994]","Social democracy"
25,"Japan",1990,"Komeito Party",7.98,45,512,5.6871,4.4549,6.25,"(1989,1994]","Conservative"
25,"Japan",1990,"no party affiliation",7.32,21,512,NA,NA,NA,"(1989,1994]",NA
25,"Japan",1990,"Japan Socialist Party",24.35,136,512,2.6344,4.1367,3.121,"(1989,1994]","Social democracy"
25,"Japan",1990,"Democratic Socialist Party",4.84,14,512,6.1556,3.5,3.5,"(1989,1994]","Social democracy"
25,"Japan",1990,"Liberal Democratic Party",46.16,275,512,8.0252,4.8094,7.7747,"(1989,1994]","Conservative"
25,"Japan",1990,"Japan Communist Party",7.96,16,512,1.148,4.072,4.032,"(1989,1994]","Communist/Socialist"
25,"Japan",1990,"one seat",0.43,1,512,NA,NA,NA,"(1989,1994]",NA
27,"Czech Republic",1998,"Pensioners for a Secure Living",3.06,0,200,3.3,3.5,3.5,"(1994,1999]","Social democracy"
27,"Czech Republic",1998,"Green Party",1.12,0,200,4.123,3.8917,1.8596,"(1994,1999]","Green/Ecologist"
27,"Czech Republic",1998,"Freedom Union",8.6,19,200,7.2204,7.5343,2.3792,"(1994,1999]","Liberal"
27,"Czech Republic",1998,"Czech Social Democratic Party",32.31,74,200,3.0463,3.0031,4.2463,"(1994,1999]","Social democracy"
